Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","203","Czechia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.394","E","Estimated value"
"ET","Temperature change on land","408","Democratic People's Republic of Korea","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.61","E","Estimated value"
"ET","Temperature change on land","180","Democratic Republic of the Congo","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.48","E","Estimated value"
"ET","Temperature change on land","208","Denmark","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.219","E","Estimated value"
"ET","Temperature change on land","262","Djibouti","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.547","E","Estimated value"
"ET","Temperature change on land","212","Dominica","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.688","E","Estimated value"
"ET","Temperature change on land","214","Dominican Republic","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.982","E","Estimated value"
"ET","Temperature change on land","218","Ecuador","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.736","E","Estimated value"
"ET","Temperature change on land","818","Egypt","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.655","E","Estimated value"
"ET","Temperature change on land","222","El Salvador","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.658","E","Estimated value"
"ET","Temperature change on land","226","Equatorial Guinea","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.247","E","Estimated value"
"ET","Temperature change on land","232","Eritrea","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.53","E","Estimated value"
"ET","Temperature change on land","233","Estonia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.961","E","Estimated value"
"ET","Temperature change on land","748","Eswatini","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.371","E","Estimated value"
"ET","Temperature change on land","231","Ethiopia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.455","E","Estimated value"
"ET","Temperature change on land","238","Falkland Islands (Malvinas)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","234","Faroe Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.396","E","Estimated value"
"ET","Temperature change on land","242","Fiji","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.346","E","Estimated value"
"ET","Temperature change on land","246","Finland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.062","E","Estimated value"
"ET","Temperature change on land","250","France","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.929","E","Estimated value"
"ET","Temperature change on land","254","French Guiana","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.147","E","Estimated value"
"ET","Temperature change on land","258","French Polynesia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.359","E","Estimated value"
"ET","Temperature change on land","260","French Southern Territories","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.532","E","Estimated value"
"ET","Temperature change on land","266","Gabon","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.994","E","Estimated value"
"ET","Temperature change on land","270","Gambia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.323","E","Estimated value"
"ET","Temperature change on land","268","Georgia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.51","E","Estimated value"
"ET","Temperature change on land","276","Germany","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.596","E","Estimated value"
"ET","Temperature change on land","288","Ghana","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.996","E","Estimated value"
"ET","Temperature change on land","292","Gibraltar","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.228","E","Estimated value"
"ET","Temperature change on land","300","Greece","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.04","E","Estimated value"
"ET","Temperature change on land","304","Greenland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.413","E","Estimated value"
"ET","Temperature change on land","308","Grenada","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.698","E","Estimated value"
"ET","Temperature change on land","312","Guadeloupe","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.773","E","Estimated value"
"ET","Temperature change on land","320","Guatemala","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.916","E","Estimated value"
"ET","Temperature change on land","324","Guinea","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.195","E","Estimated value"
"ET","Temperature change on land","624","Guinea-Bissau","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.295","E","Estimated value"
"ET","Temperature change on land","328","Guyana","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.066","E","Estimated value"
"ET","Temperature change on land","332","Haiti","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.095","E","Estimated value"
"ET","Temperature change on land","336","Holy See","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.028","E","Estimated value"
"ET","Temperature change on land","340","Honduras","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.723","E","Estimated value"
"ET","Temperature change on land","348","Hungary","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.142","E","Estimated value"
"ET","Temperature change on land","352","Iceland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.201","E","Estimated value"
"ET","Temperature change on land","356","India","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.79","E","Estimated value"
"ET","Temperature change on land","360","Indonesia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.085","E","Estimated value"
"ET","Temperature change on land","364","Iran (Islamic Republic of)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.37","E","Estimated value"
"ET","Temperature change on land","368","Iraq","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.147","E","Estimated value"
"ET","Temperature change on land","372","Ireland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.764","E","Estimated value"
"ET","Temperature change on land","833","Isle of Man","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.84","E","Estimated value"
"ET","Temperature change on land","376","Israel","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.079","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.135","E","Estimated value"
"ET","Temperature change on land","388","Jamaica","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.14","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.335","E","Estimated value"
"ET","Temperature change on land","400","Jordan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.358","E","Estimated value"
"ET","Temperature change on land","398","Kazakhstan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.712","E","Estimated value"
"ET","Temperature change on land","404","Kenya","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.28","E","Estimated value"
"ET","Temperature change on land","296","Kiribati","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","414","Kuwait","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.275","E","Estimated value"
"ET","Temperature change on land","417","Kyrgyzstan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.619","E","Estimated value"
"ET","Temperature change on land","418","Lao People's Democratic Republic","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.112","E","Estimated value"
"ET","Temperature change on land","428","Latvia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.953","E","Estimated value"
"ET","Temperature change on land","422","Lebanon","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.29","E","Estimated value"
"ET","Temperature change on land","426","Lesotho","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.372","E","Estimated value"
"ET","Temperature change on land","430","Liberia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.556","E","Estimated value"
"ET","Temperature change on land","434","Libya","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.559","E","Estimated value"
"ET","Temperature change on land","438","Liechtenstein","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.534","E","Estimated value"
"ET","Temperature change on land","440","Lithuania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.96","E","Estimated value"
"ET","Temperature change on land","442","Luxembourg","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.926","E","Estimated value"
"ET","Temperature change on land","450","Madagascar","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.86","E","Estimated value"
"ET","Temperature change on land","454","Malawi","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.816","E","Estimated value"
"ET","Temperature change on land","458","Malaysia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.367","E","Estimated value"
"ET","Temperature change on land","462","Maldives","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.784","E","Estimated value"
"ET","Temperature change on land","466","Mali","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.887","E","Estimated value"
"ET","Temperature change on land","470","Malta","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.955","E","Estimated value"
"ET","Temperature change on land","584","Marshall Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.007","E","Estimated value"
"ET","Temperature change on land","474","Martinique","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.684","E","Estimated value"
"ET","Temperature change on land","478","Mauritania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.711","E","Estimated value"
"ET","Temperature change on land","480","Mauritius","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.595","E","Estimated value"
"ET","Temperature change on land","175","Mayotte","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.678","E","Estimated value"
"ET","Temperature change on land","484","Mexico","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.249","E","Estimated value"
"ET","Temperature change on land","583","Micronesia (Federated States of)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.627","E","Estimated value"
"ET","Temperature change on land","488","Midway Island","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","492","Monaco","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.737","E","Estimated value"
"ET","Temperature change on land","496","Mongolia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.197","E","Estimated value"
"ET","Temperature change on land","499","Montenegro","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.865","E","Estimated value"
"ET","Temperature change on land","500","Montserrat","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.77","E","Estimated value"
"ET","Temperature change on land","504","Morocco","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.303","E","Estimated value"
"ET","Temperature change on land","508","Mozambique","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.834","E","Estimated value"
"ET","Temperature change on land","104","Myanmar","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.436","E","Estimated value"
"ET","Temperature change on land","516","Namibia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.239","E","Estimated value"
"ET","Temperature change on land","520","Nauru","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","524","Nepal","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.132","E","Estimated value"
"ET","Temperature change on land","528","Netherlands (Kingdom of the)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.601","E","Estimated value"
"ET","Temperature change on land","530","Netherlands Antilles (former)","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.625","E","Estimated value"
"ET","Temperature change on land","540","New Caledonia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.421","E","Estimated value"
"ET","Temperature change on land","554","New Zealand","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.319","E","Estimated value"
"ET","Temperature change on land","558","Nicaragua","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.842","E","Estimated value"
"ET","Temperature change on land","562","Niger","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.428","E","Estimated value"
"ET","Temperature change on land","566","Nigeria","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.791","E","Estimated value"
"ET","Temperature change on land","570","Niue","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","574","Norfolk Island","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.225","E","Estimated value"
"ET","Temperature change on land","807","North Macedonia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.404","E","Estimated value"
"ET","Temperature change on land","578","Norway","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.918","E","Estimated value"
"ET","Temperature change on land","512","Oman","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.055","E","Estimated value"
"ET","Temperature change on land","586","Pakistan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.389","E","Estimated value"
"ET","Temperature change on land","585","Palau","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.672","E","Estimated value"
"ET","Temperature change on land","275","Palestine","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.074","E","Estimated value"
"ET","Temperature change on land","591","Panama","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.728","E","Estimated value"
"ET","Temperature change on land","598","Papua New Guinea","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.221","E","Estimated value"
"ET","Temperature change on land","600","Paraguay","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.649","E","Estimated value"
"ET","Temperature change on land","604","Peru","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.878","E","Estimated value"
"ET","Temperature change on land","608","Philippines","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.405","E","Estimated value"
"ET","Temperature change on land","612","Pitcairn","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","616","Poland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.056","E","Estimated value"
"ET","Temperature change on land","620","Portugal","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.318","E","Estimated value"
"ET","Temperature change on land","630","Puerto Rico","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.848","E","Estimated value"
"ET","Temperature change on land","634","Qatar","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.855","E","Estimated value"
"ET","Temperature change on land","410","Republic of Korea","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.659","E","Estimated value"
"ET","Temperature change on land","498","Republic of Moldova","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.143","E","Estimated value"
"ET","Temperature change on land","638","Réunion","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.865","E","Estimated value"
"ET","Temperature change on land","642","Romania","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.949","E","Estimated value"
"ET","Temperature change on land","643","Russian Federation","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.261","E","Estimated value"
"ET","Temperature change on land","646","Rwanda","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","654","Saint Helena, Ascension and Tristan da Cunha","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.686","E","Estimated value"
"ET","Temperature change on land","659","Saint Kitts and Nevis","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.77","E","Estimated value"
"ET","Temperature change on land","662","Saint Lucia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.689","E","Estimated value"
"ET","Temperature change on land","666","Saint Pierre and Miquelon","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.944","E","Estimated value"
"ET","Temperature change on land","670","Saint Vincent and the Grenadines","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.698","E","Estimated value"
"ET","Temperature change on land","882","Samoa","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.156","E","Estimated value"
"ET","Temperature change on land","674","San Marino","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.115","E","Estimated value"
"ET","Temperature change on land","678","Sao Tome and Principe","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.321","E","Estimated value"
"ET","Temperature change on land","682","Saudi Arabia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.745","E","Estimated value"
"ET","Temperature change on land","686","Senegal","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.405","E","Estimated value"
"ET","Temperature change on land","688","Serbia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.938","E","Estimated value"
"ET","Temperature change on land","690","Seychelles","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.872","E","Estimated value"
"ET","Temperature change on land","694","Sierra Leone","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.328","E","Estimated value"
"ET","Temperature change on land","702","Singapore","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.311","E","Estimated value"
"ET","Temperature change on land","703","Slovakia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.018","E","Estimated value"
"ET","Temperature change on land","705","Slovenia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.435","E","Estimated value"
"ET","Temperature change on land","090","Solomon Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.038","E","Estimated value"
"ET","Temperature change on land","706","Somalia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.449","E","Estimated value"
"ET","Temperature change on land","710","South Africa","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.094","E","Estimated value"
"ET","Temperature change on land","239","South Georgia and the South Sandwich Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.846","E","Estimated value"
"ET","Temperature change on land","728","South Sudan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.983","E","Estimated value"
"ET","Temperature change on land","724","Spain","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.489","E","Estimated value"
"ET","Temperature change on land","144","Sri Lanka","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.004","E","Estimated value"
"ET","Temperature change on land","729","Sudan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.773","E","Estimated value"
"ET","Temperature change on land","740","Suriname","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.296","E","Estimated value"
"ET","Temperature change on land","744","Svalbard and Jan Mayen Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","3.522","E","Estimated value"
"ET","Temperature change on land","752","Sweden","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.11","E","Estimated value"
"ET","Temperature change on land","756","Switzerland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.798","E","Estimated value"
"ET","Temperature change on land","760","Syrian Arab Republic","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.535","E","Estimated value"
"ET","Temperature change on land","762","Tajikistan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.074","E","Estimated value"
"ET","Temperature change on land","764","Thailand","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.014","E","Estimated value"
"ET","Temperature change on land","626","Timor-Leste","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.315","E","Estimated value"
"ET","Temperature change on land","768","Togo","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.975","E","Estimated value"
"ET","Temperature change on land","772","Tokelau","7271","Temperature change","7020","Meteorological year","2022","2022","°c","","O","Missing value"
"ET","Temperature change on land","776","Tonga","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.846","E","Estimated value"
"ET","Temperature change on land","780","Trinidad and Tobago","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.714","E","Estimated value"
"ET","Temperature change on land","788","Tunisia","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.291","E","Estimated value"
"ET","Temperature change on land","792","Türkiye","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.244","E","Estimated value"
"ET","Temperature change on land","795","Turkmenistan","7271","Temperature change","7020","Meteorological year","2022","2022","°c","2.528","E","Estimated value"
"ET","Temperature change on land","796","Turks and Caicos Islands","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.944","E","Estimated value"
"ET","Temperature change on land","798","Tuvalu","7271","Temperature change","7020","Meteorological year","2022","2022","°c","0.663","E","Estimated value"
"ET","Temperature change on land","800","Uganda","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.416","E","Estimated value"
"ET","Temperature change on land","804","Ukraine","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.931","E","Estimated value"
"ET","Temperature change on land","784","United Arab Emirates","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.482","E","Estimated value"
"ET","Temperature change on land","826","United Kingdom of Great Britain and Northern Ireland","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.911","E","Estimated value"
